title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Taiwan Zou Zhou Yuan Estate Geisha Natural,Sea Island Coffee,92,"London, England","Alishan, Taiwan",Medium-Light,59/77,$168.00/125 grams,November 2024,9,8,8,9,8,,
Kenya AA Kangiri New Irati,Bear Lake Coffee,95,"Barronett, Wisconsin","Kigumo growing region, Muranga County, Kenya",Light,66/84,$19.00/12 ounces,November 2024,9,9,9,9,9,,
Costa Rica Central Valley Honey Geisha,Bear Lake Coffee,94,"Barronett, Wisconsin","Alajuela, Central Valley, Costa Rica",Light,62/80,$16.00/6 ounces,November 2024,9,9,9,9,8,,
Ethiopia Sidama Bombe G1 Washed,Bear Lake Coffee,94,"Barronett, Wisconsin","Sidamo growing region, southern Ethiopia",Light,64/84,$19.00/12 ounces,November 2024,9,9,9,9,8,,
Costa Rica Lilo Microlot,Bear Lake Coffee,93,"Barronett, Wisconsin","Tarrazu, Costa Rica",Light,60/88,$20.00/12 ounces,November 2024,9,9,8,9,8,,
Ethiopia Guji Buku Sayisa G1 Natural,Bear Lake Coffee,92,"Barronett, Wisconsin","Guji Zone, Oromia region, southern Ethiopia",Medium-Light,58/75,$19.00/12 ounces,November 2024,8,8,9,9,8,,
Kenya AA Aries Return Espresso,Simon Hsieh Aroma Roast Coffees,96,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,44/60,NT $950/8 ounces,November 2024,9,,9,9,9,10,
Kenya All’s Well Peaberry Espresso,Simon Hsieh Aroma Roast Coffees,96,"Taoyuan, Taiwan","Nyeri growing region, south-central Kenya",Medium,46/72,NT $900/8 ounces,November 2024,9,,9,10,9,9,
Espresso No. 6 Finca San José Ocaña,El Gran Cafe,96,"Antigua Guatemala, Guatemala","San Juan Sacatepéquez, Antigua Department, Guatemala",Medium,50/64,$25.00/12 ounces,November 2024,9,,9,9,9,10,
Guatemala Finca Santa Isabel SL28 COE #13,El Gran Cafe,93,"Antigua Guatemala, Guatemala","San Cristobal Verapaz, Alta Verapaz, Antigua Department, Guatemala",Medium,52/60,$47.00/12 ounces,November 2024,9,9,8,9,8,,
Kahiko Orange,Hula Daddy Kona Coffee,98,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,54/84,$99.95/8 ounces,November 2024,10,10,9,10,9,,
Kenya Washed Kiambu Yara Estate PB TOP,Kakalove Cafe,97,"Chia-Yi, Taiwan","Ruiru, Kiambu County, south-central Kenya",Medium-Light,58/80,NT $300/4 ounces,November 2024,9,10,9,10,9,,
Kona Orange,Hula Daddy Kona Coffee,96,"Holualoa, Hawai’i","Holualoa, North Kona growing district, “Big Island” of Hawai’i",Light,58/84,$79.95/8 ounces,November 2024,9,9,9,10,9,,
Colombia Wilton Benitez Sudan Rume,Utopian Coffee,96,"Fort Wayne, Indiana","Piendamo, Cauca Department, Colombia",Light,64/84,$29.00/8 ounces,November 2024,9,9,9,10,9,,
Ethiopia Washed Gute 74110 Lot JH,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,60/82,NT $480/8 ounces,November 2024,9,9,9,9,9,,
Ethiopia Natural Sidama Bura Karamo 74158,Kakalove Cafe,95,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,57/88,NT $480/8 ounces,November 2024,9,9,9,9,9,,
Taiwan Honey Alishan Ming Yang Yuan Gesha,Kakalove Cafe,95,"Chia-Yi, Taiwan","Alishan, Taiwan",Light,62/84,"NT $1,110/4 ounces",November 2024,9,9,9,9,9,,
Kenya Washed Kiambu AB TOP Lot Yerihar,Kakalove Cafe,94,"Chia-Yi, Taiwan","Kiambu County, south-central Kenya",Medium-Light,58/78,NT $350/8 ounces,November 2024,9,9,9,9,8,,
Kenya Ibonia Estate,Roadmap CoffeeWorks,95,"Lexington, Virginia","Kiambu County, Kenya",Medium-Light,58/80,$24.00/12 ounces,November 2024,9,9,9,9,9,,
Ethiopia Worka Sakaro,Roadmap CoffeeWorks,94,"Lexington, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,62/86,$27.00/12 ounces,November 2024,9,8,9,9,9,,
Guatemala Washed Huehuetenango Joya Verde,Kakalove Cafe,94,"Chia-Yi, Taiwan","Huehuetenango, Guatemala",Medium-Light,56/74,NT $260/8 ounces,November 2024,9,,9,9,8,9,
Ethiopia Washed Guji Uraga Tebe Burka,Kakalove Cafe,94,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/80,NT $330/8 ounces,November 2024,9,9,9,9,8,,
Colombia Decaf Granja Paraiso 92,Kakalove Cafe,93,"Chia-Yi, Taiwan","Piendamo, Cauca Department, Colombia",Medium-Light,57/78,NT $330/8 ounce,November 2024,9,8,9,9,8,,
Ethiopia Natural Sidama ALO Village SKY Project FL,Kakalove Cafe,94,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium-Light,60/77,NT $490/4 ounces,November 2024,8,9,9,9,9,,
Taiwan Natural Alishan Chi Tsai Liu Li Ecological Farm,Kakalove Cafe,94,"Chia-Yi, Taiwan","Alishan, Taiwan",Medium-Light,60/77,"NT $1,100/4 ounces",November 2024,9,9,9,9,8,,
Wilton Benitez SL28,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Medium-Light,58/82,$33.00/8 ounces,November 2024,9,9,9,10,9,,
Kolla Bolcha #6 Ethiopia,JBC Coffee Roasters,94,"Madison, Wisconsin","Agaro, Oromia region, Ethiopia",Medium-Light,60/79,$20.00/12 ounces,November 2024,9,9,8,9,9,,
Bener Meriah Sumatra,JBC Coffee Roasters,94,"Madison, Wisconsin","Aceh, Sumatra, Indonesia",Medium-Light,59/77,$20.00/12 ounces,November 2024,9,9,9,9,8,,
Ethiopia Yirgacheffe Hama Honey,Cozy House Coffee,95,"Taipei City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,59/81,NT $600/227 grams,November 2024,9,9,9,9,9,,
Colombia Finca Santuario Red Bourbon Natural,Cozy House Coffee,95,"Taipei City, Taiwan","Cauca Department, Colombia",Light,62/94,NT $600/227 grams,November 2024,9,9,9,9,9,,
Ethiopia Yirgacheffe Gutiti Gargari Natural,Cozy House Coffee,94,"Taipei City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/77,NT $450/227 grams,November 2024,9,9,9,9,8,,
130 Blend,Jaunt Coffee Roasters,94,"San Diego, California",Guatemala; Ethiopia,Medium-Light,55/79,$19.00/12 ounces,November 2024,9,9,9,9,8,,
Fruits Melody,Coffeeland,94,"Chia-Yi, Taiwan",Ethiopia,Light,65/81,NT $390/227 grams,November 2024,9,9,9,9,8,,
Matriarch,Jaunt Coffee Roasters,93,"San Diego, California",Brazil; Guatemala; Ethiopia,Medium-Light,56/74,$19.00/12 ounces,November 2024,9,8,9,9,8,,
Murphinator,Jaunt Coffee Roasters,92,"San Diego, California","Mexico, Papua New Guinea",Medium,47/65,$18.00/12 ounces,November 2024,8,8,9,9,8,,
Taiwan Symphony,Coffeeland,92,"Chia-Yi, Taiwan",Taiwan,Medium-Light,60/78,NT $1220/227 grams,November 2024,9,8,8,9,8,,
Blue Notes,Coffeeland,91,"Chia-Yi, Taiwan",Guatemala; Colombia; Brazil; Myanmar,Medium-Light,58/76,NT $480/227 grams,November 2024,8,8,8,9,8,,
Ethiopia Dale,Speedwell Coffee,93,"Plymouth, Massachusetts","Wensho Woreda, Sidamo growing region, Ethiopia",Light,62/80,$17.00/12 ounces,October 2024,9,9,8,9,8,,
Panama Elida Estate Geisha Natural ASD T3D Auction Lot EG6,Euphora Coffee,97,"Taipei, Taiwan","Boquete growing region, western Panama",Light,66/84,$80.00/4 ounces,October 2024,9,10,9,10,9,,
El Salvador La Providencia Maria Pacas Bernadina Honey,Torque Coffee,95,"San Diego, California","Los Naranjos, Juayua, Sonsonate, El Salvador",Light,62/84,$39.25/12 ounces,October 2024,9,9,9,9,9,,
Colombia El Vergel Martha Montenegro Rubi Marti Anaerobic,Torque Coffee,95,"San Diego, California","Tolima Department, Colombia",Light,66/90,$47.25/12 ounces,October 2024,9,9,9,9,9,,
Ethiopia Washed Yirgacheffe Chelbesa SNNPR Gedeo G1,Dou Zhai Coffee & Roastery,94,"Taichung, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,64/84,NT $480/8 ounces,October 2024,9,9,9,9,8,,
Chantilly Blend,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan",Colombia; Panama; Costa Rica,Light,64/82,NT $340/8 ounces,October 2024,9,9,8,9,8,,
Colombia Lulo Wonka Wonka & Sebastian Gomez,Bonlife Coffee,96,"Cleveland, Tennessee",Colombia,Light,64/86,$19.99/8 ounces,October 2024,9,9,9,10,9,,
Colombia Finca La Reserva,Bonlife Coffee,94,"Cleveland, Tennessee","Antioquia Department, Colombia",Light,64/84,$19.99/8 ounces,October 2024,9,9,9,9,8,,
Ethiopia Agaro Gera Duromina #14,Northbound Coffee Roasters,93,"Mount Shasta, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,59/77,$18.00/12 ounces,October 2024,9,9,8,9,8,,
Ethiopia Asikana Natural,Northbound Coffee Roasters,92,"Mount Shasta, California","Lalisa Birbir, Oromia Region, Ethiopia",Light,60/82,$18.00/12 ounces,October 2024,8,8,9,9,8,,
Mexico Montecristo Reserve,Northbound Coffee Roasters,92,"Mount Shasta, California","Montecristo de Guerrero, Chiapas, Mexico",Medium-Light,58/78,$18.00/12 ounces,October 2024,8,8,9,9,8,,
Ethiopia Washed Ayla Bombe,RamsHead Coffee Roasters,94,"Livingston, Montana","Sidamo growing region, southern Ethiopia",Medium-Light,59/79,$19.00/12 ounces,October 2024,9,9,8,9,9,,
Costa Rica Anaerobic Natural,RamsHead Coffee Roasters,92,"Livingston, Montana","Los Santos, Tarrazú, Costa Rica",Medium-Light,61/79,$21.00/12 ounces,October 2024,9,8,9,9,7,,
Rwanda Muhororo Anaerobic,RamsHead Coffee Roasters,91,"Livingston, Montana","Nyamasheke, Western Province, Rwanda",Light,62/81,$35.00/12 ounces,October 2024,8,7,9,9,8,,
Ethiopia Mr. Ocholo Bedecho,Roadmap CoffeeWorks,95,"Lexington, Virginia","Haro Wachu, Uraga, Guji Zone, Oromia Region, Ethiopia",Light,58/84,$22.00/12 ounces,October 2024,9,9,9,9,9,,
Guatemala El Injerto Malawi Geisha Washed,GK Coffee,95,"Yilan, Taiwan","Huehuetenango Department, Guatemala",Light,69/88,NT $950/100 grams,October 2024,9,9,9,9,9,,
Guatemala El Injerto Legendary Geisha Natural Lot E1-06,Euphora Coffee,94,"Taipei, Taiwan","Huehuetenango Department, Guatemala",Light,60/88,$23.67/4 ounces,October 2024,9,8,9,9,9,,
Guatemala Washed Finca La Hermosa Gesha Peaberry,Kakalove Cafe,94,"Chia-Yi, Taiwan","Acatenango growing region, Guatemala",Medium-Light,56/84,$21.95/4 ounces,October 2024,9,9,9,9,8,,
Guatemala Finca La Linea Gesha,Bonlife Coffee,93,"Cleveland, Tennessee","Huehuetenango Department, Guatemala",Light,83/118,$19.99/8 ounces,October 2024,9,8,9,9,8,,
Guatemala El Socorro Laurina,Willoughby's Coffee & Tea,91,"Branford, Connecticut","Palencia, Guatemala Department, Guatemala",Light,61/84,$22.50/12 ounces,October 2024,9,8,8,9,7,,
Vista Hermosa Marago-Pache,Torque Coffee,91,"San Diego, California","Huehuetenango Department, Guatemala",Light,62/90,$30.50/8.8 ounces (as part of boxed set),October 2024,9,9,8,8,7,,
Qunqana Ethiopia,JBC Coffee Roasters,95,"Madison, Wisconsin","Sidamo growing region, Ethiopia",Light,63/81,$23.00/12 ounces,October 2024,9,9,9,9,9,,
Finca La Reserva Colombia Gesha Honey,JBC Coffee Roasters,95,"Madison, Wisconsin","Ciudad Bolivar, Antioquia Department, Colombia",Medium-Light,59/77,$22.00/8 ounces,October 2024,9,9,9,9,9,,
Ethiopia Ayla Bombe,Utopian Coffee,96,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Medium-Light,61/78,$20.00/12 ounces,October 2024,10,9,9,9,9,,
Ethiopia Arbegona Yaye Washed,Utopian Coffee,95,"Fort Wayne, Indiana","Chericho, Sidamo growing region, Ethiopia",Light,62/80,$24.00/12 ounces,October 2024,9,9,9,9,9,,
Sumatra Putra Gayo Natural,Utopian Coffee,94,"Fort Wayne, Indiana","Aceh Province, Sumatra, Indonesia",Medium-Light,60/79,$23.00/12 ounces,October 2024,9,9,9,9,8,,
El Salvador Finca Plan del Hoyo Microlot,Intuition Coffee,94,"Peoria, Illinois","Llamatepec, Apaneca growing region, El Salvador",Medium-Light,60/77,$16.00/12 ounces,October 2024,9,9,9,9,8,,
Milano Coffee Blend,Vista Clara Coffee,87,"Snohomish, Washington",Not disclosed,Medium,44/63,$11.50/16 ounces,September 2024,8,7,7,8,7,,
Costa Rica,Vista Clara Coffee,88,"Snohomish, Washington","Tarrazu, Costa Rica",Medium,46/62,$11.50/16 ounces,September 2024,8,7,8,8,7,,
Kenya Gachatha,Bargain Cafe,93,"Taitung, Taiwan","Nyeri growing region, south-central Kenya",Light,64/84,NT $350/200 grams,September 2024,9,9,8,9,8,,
Colombia Fruit Loops Gesha Washed,Coffee Bros.,94,"Long Island City, New York","Huila Department, Colombia",Light,65/89,$37.99/6 ounces,September 2024,9,9,9,9,8,,
Kenya Gachatha AA Top,Buon Caffe,94,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Light,62/80,NT $309/8 ounces,September 2024,9,9,9,9,8,,
Ethiopia Bench-Maji Lucy Station Geisha Washed,Buon Caffe,94,"Taipei, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,64/84,NT $339/8 ounces,September 2024,9,9,8,9,9,,
Ethiopia Yirgacheffe Lalisa Black Honey TOH#2,Buon Caffe,94,"Taipei, Taiwan","Gedeb District, Gedeo Zone, Ethiopia",Light,66/90,NT $449/8 ounces,September 2024,9,9,9,9,8,,
Colombia Tolima Villa Karina Bourbon Naranja Honey,Buon Caffe,93,"Taipei, Taiwan","Tolima Department, Colombia",Light,62/85,NT $399/8 ounces,September 2024,9,9,8,9,8,,
Gimbo Geisha,Heat Coffee,93,"Taipei, Taiwan","Gimbo, Kaffa Province, Ethiopia",Light,62/82,NT $350/227 grams,September 2024,9,9,8,9,8,,
Sakicha,Heat Coffee,93,"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,63/81,NT $280/227 grams,September 2024,9,8,9,9,8,,
Ethiopia Daye Bensa,Coffee Bros.,92,"Long Island City, New York","Sidamo (also growing region, south-central Ethiopia",Medium-Light,55/79,$22.99/12 ounces,September 2024,9,8,8,9,8,,
Ethiopia Koke Natural,Buon Caffe,93,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,66/88,NT $349/8 ounces,September 2024,9,8,9,9,8,,
Twisted V.9 Espresso,JBC Coffee Roasters,92,"Madison, Wisconsin",South and Central America; Africa,Medium-Light,55/75,$18.00/12 ounces,September 2024,8,,9,8,8,9,
Panama Hacienda La Esmeralda Nano GIGANTE 4FC-N Geisha Washed,GK Coffee,97,"Yilan, Taiwan","Cañas Verdes, Boquete, Panama",Light,62/84,NT $1200/20 grams,September 2024,9,10,9,10,9,,
Kenya Washed Kiambu AA,Kakalove Cafe,96,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium,47/69,NT $290/8 ounces,September 2024,9,,9,10,9,9,
Kenya Washed Kiambu Maganjo AA TOP,Kakalove Cafe,95,"Chia-Yi, Taiwan","Kiambu growing region, south-central Kenya",Medium-Light,58/82,NT $350/8 ounces,September 2024,9,9,9,9,9,,
Ethiopia Washed Yirgacheffe Botabaa Lot,Kakalove Cafe,95,"Chia-Yi, Taiwan","Gedeo Zone, SNNPR, southern Ethiopia",Light,62/84,NT $330/8 ounces,September 2024,9,9,9,9,9,,
Bella Carmona Honey Guatemala,JBC Coffee Roasters,93,"Madison, Wisconsin","Sacatepequez, Antigua, Guatemala",Medium-Light,59/81,$19.00/12 ounces,September 2024,9,9,8,9,8,,
Ethiopia Sidama G1 Bona Zuria Ayele Tulu Honey,GK Coffee,93,"Yilan, Taiwan","Bona Zuria Woreda, Sidamo growing region, southern Ethiopia",Medium-Light,63/77,NT $650/200 grams,September 2024,9,8,9,9,8,,
Ecuador Galo Morales,Utopian Coffee,94,"Fort Wayne, Indiana","San Jose de Minas, Pichincha, Ecuador",Light,64/86,$20.00/.8 ounces,September 2024,9,9,9,9,8,,
Orange Bourbon Natural,Rusty's Hawaiian,95,"Pahala, Hawaii","Ka‘ū growing district, Big Island of Hawai’i",Light,64/88,$35.00/8 ounces,September 2024,9,9,9,9,9,,
Ethiopia Yirgacheffe Huke Premium Washed G1,Bear Lake Coffee,95,"Barronett, Wisconsin","Yirgacheffe growing region, south-central Ethiopia",Light,64/82,$21.00/12 ounces,September 2024,9,9,9,9,9,,
Ethiopia Yirgacheffe Huke Premium Natural G1,Bear Lake Coffee,94,"Barronett, Wisconsin","Yirgacheffe growing region, south-central Ethiopia",Light,62/80,$21.00/12 ounces,September 2024,9,9,9,9,8,,
Colombia El Vergel #1,Speedwell Coffee,94,"Plymouth, Massachusetts","Huila Department, Colombia",Light,64/86,$15.00/12 ounces,September 2024,9,9,9,9,8,,
Ethiopia Sidama Bensa,Bargain Cafe,94,"Taitung, Taiwan","Sidamo growing region, southern Ethiopia",Light,65/87,NT $350/200 grams,September 2024,9,8,9,9,9,,
Ethiopia Bench-Maji Lucy Geisha,Bargain Cafe,94,"Taitung, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,66/84,NT $380/200 grams,September 2024,9,9,9,9,8,,
Kenya Ibonia Estate AA,Utopian Coffee,93,"Fort Wayne, Indiana","Kiambu County, Kenya",Light,63/82,$21.00/12 ounces,September 2024,9,9,8,9,8,,
Kenya Kamwangi,Speedwell Coffee,93,"Plymouth, Massachusetts","Gichugu Division, Kirinyaga County, central Kenya",Medium-Light,58/77,$19.00/12 ounces,September 2024,9,9,8,9,8,,
Ethiopia Oromi Guji Hamela Wamena Tirtira Goyo Natural G1,Dou Zhai Coffee & Roastery,95,"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,66/88,NT $480/8 ounces,September 2024,9,9,9,9,9,,
Billie Blend,Dou Zhai Coffee & Roastery,93,"Taichung, Taiwan",Ethiopia; Costa Rica,Medium-Light,60/78,NT $380/8 ounces,September 2024,9,8,8,9,9,,
Acacia Hills Geisha,JBC Coffee Roasters,96,"Madison, Wisconsin","Karatu, Oldeani Region, Tanzania",Medium-Light,58/80,$24.00/8 ounces,August 2024,9,9,9,10,9,,
Nsoga Iweyza Tanzania,JBC Coffee Roasters,95,"Madison, Wisconsin","Mbeya, Tanzania",Medium-Light,57/77,$24.00/8 ounces,August 2024,9,9,9,9,9,,
El Salvador El Naranjito,Roadmap CoffeeWorks,93,"Lexington, Virginia","Ahuachapan, El Salvador",Medium-Light,59/79,$21.00/12 ounces,August 2024,9,9,8,9,8,,
Guatemala Acodihue,Roadmap CoffeeWorks,92,"Lexington, Virginia","Huehuetenango, Guatemala",Medium-Light,57/83,$20.00/12 ounces,August 2024,9,8,8,8,9,,
Wilton Benitez Java,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,59/93,$20.00/8 ounces,August 2024,9,9,9,10,9,,
Costa Rica Brunca Don Senel,Bear Lake Coffee,93,"Barronett, Wisconsin","Perez Zeldon, San Jose, Costa Rica",Medium-Light,58/80,$18.00/12 ounces,August 2024,9,8,9,9,8,,
El Salvador Ojo de Agua Carlos Poa,Bear Lake Coffee,93,"Barronett, Wisconsin","Juayúa, Apaneca Illamatepec, El Salvador",Light,63/85,$20.00/12 ounces,August 2024,9,8,9,9,8,,
Honduras Honey Decaf Mountain Water,Bear Lake Coffee,91,"Barronett, Wisconsin","Marcala growing region, Honduras",Light,60/82,$18.00/12 ounces,August 2024,8,8,9,8,8,,
Asobombo Colombia,JBC Coffee Roasters,94,"Madison, Wisconsin","Pitalito, Huila Department, Colombia",Light,63/85,$20.00/12 ounces,August 2024,9,9,9,9,8,,
Alto Lagunillas by Wilson Sucaticona,JBC Coffee Roasters,93,"Madison, Wisconsin","Puno, Peru",Medium-Light,58/80,$20.00/8 ounces,August 2024,9,9,8,9,8,,
Panama Hacienda La Esmeralda Special Nano Geisha Gigante Washed Euphora Lot,Euphora Coffee,96,"Taipei, Taiwan","Boquete growing region, western Panama",Light,66/88,$90.00/4 ounces,August 2024,9,10,9,9,9,,
Costa Rica Las Lajas Black Diamond Bourbon,Magnolia Coffee,95,"Charlotte, North Carolina","Sabanilla de Alajuela, Central Valley, Costa Rica",Light,72/102,$28.00/12 ounces,August 2024,9,9,9,9,9,,
Biru Bekele Ethiopia,JBC Coffee Roasters,93,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Light,62/86,$22.00/12 ounces,August 2024,9,9,8,9,8,,
Finca La Secreta Colombia Lychee Co-Ferment,JBC Coffee Roasters,93,"Madison, Wisconsin","Ciudad Bolivar, Antioquia, Colombia.",Light,64/87,$22.00/8 ounces,August 2024,9,8,9,9,8,,
Wonderblend,Temple Coffee,93,"Sacramento, California",Java; Burundi; Ethiopia,Medium-Light,58/77,$26.00/12 ounces,August 2024,9,8,9,9,8,,
Ethiopia Sidama Arbegona Bursa Natural,Bargain Cafe,93,"Taitung, Taiwan","Arbegona Woreda, Bursa Kebele, Sidamo Region, Ethiopia",Light,65/88,NT $350/200 grams,August 2024,9,9,8,9,8,,
Hundred Mango Summer Blend,Bargain Cafe,92,"Taitung, Taiwan",Kenya; Colombia,Light,62/80,NT $350/200 grams,August 2024,9,8,8,9,8,,
Double Happiness by Brandon Jew,Equator Coffees,93,"San Rafael, California","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,65/89,$19.50/12 ounces,August 2024,9,9,8,9,8,,
Sense of Urgency Blend,Equator Coffees,92,"San Rafael, California",Indonesia; Colombia; Kenya,Medium,48/64,$22.00/12 ounces,August 2024,9,8,9,9,7,,
Harfusa Kurume Natural,Heat Coffee,93,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,58/80,NT $280/8 ounces,August 2024,9,8,9,9,8,,
Yirgacheffe Blend,Heat Coffee,91,"Taipei, Taiwan",Ethiopia; Kenya; Brazil,Medium-Light,56/79,NT $250/8 ounces,August 2024,9,8,8,8,8,,
El Salvador Monte Verde,Speedwell Coffee,93,"Plymouth, Massachusetts","Monte Verde, Santa Ana Department, central El Salvador",Light,62/84,$16.00/12 ounces,August 2024,9,9,8,9,8,,
Ethiopia Mulish,Temple Coffee,94,"Sacramento, California","Guji Zone, Oromia region, Ethiopia",Medium-Light,58/78,$25.50/12 ounces,July 2024,9,9,9,9,8,,
Colombia Henry Gonzalez,Temple Coffee,93,"Sacramento, California","Huila Department, Colombia",Medium-Light,56/74,$26.00/12 ounces,July 2024,9,9,8,9,8,,
Ethiopia Gesha Village Oma Gesha 1931 Natural,Buon Caffe,96,"Taipei, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,59/83,NT $799/100 grams,July 2024,10,9,9,10,8,,
Ethiopia Djimma Limu Gummay Baby Geisha Washed,Buon Caffe,95,"Taipei, Taiwan","Djimma Limu, Oromia Region, southern Ethiopia",Light,64/88,NT $359/8 ounces,July 2024,9,9,9,9,9,,
Ethiopia Yirgacheffe Kochere Halo Hartume Washed G1,Brocade Specialty Coffee,94,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,64/86,NT $560/220 grams,July 2024,9,9,9,9,8,,
Ethiopia Guji Bule Hambela TOH#1,Buon Caffe,94,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/76,NT $599/8 ounces,July 2024,9,9,9,9,8,,
Ethiopia Gedeo Yirgacheffe Gerbota Washed G1,Buon Caffe,93,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,62/80,NT $280/8 ounces,July 2024,9,9,8,9,8,,
Colombia La Serrania Decaf Washed,Buon Caffe,90,"Taipei, Taiwan","Huila Department, Colombia",Medium-Light,57/80,NT $349/8 ounces,July 2024,8,8,8,9,7,,
